Days,Fajr,Sunrise,Dhuhr,ʿAṣr,Maghrib,ʿIshā
,04:40,06:08,12:04,15:06,17:52,19:10
,04:41,06:09,12:04,15:04,17:49,19:07
,04:43,06:11,12:04,15:03,17:47,19:06
,04:45,06:13,12:03,15:01,17:45,19:04
,04:45,06:14,12:03,14:59,17:43,19:02
,04:47,06:16,12:03,14:58,17:40,18:59
,04:49,06:18,12:02,14:56,17:38,18:59
,04:49,06:19,12:02,14:54,17:36,18:57
,04:51,06:21,12:02,14:52,17:34,18:55
,04:53,06:23,12:01,14:51,17:31,18:52
,04:53,06:24,12:01,14:49,17:29,18:50
,04:55,06:26,12:01,14:47,17:27,18:48
,04:57,06:28,12:01,14:46,17:25,18:48
,04:57,06:29,12:00,14:44,17:23,18:46
,04:59,06:31,12:00,14:42,17:21,18:44
,05:01,06:33,12:00,14:41,17:19,18:42
,05:01,06:34,12:00,14:39,17:16,18:39
,05:03,06:36,12:00,14:37,17:14,18:37
,05:05,06:38,11:59,14:36,17:12,18:35
,05:06,06:39,11:59,14:34,17:10,18:33
,05:07,06:41,11:59,14:33,17:08,18:33
,05:09,06:43,11:59,14:31,17:06,18:31
,05:10,06:45,11:59,14:29,17:04,18:29
,05:11,06:46,11:59,14:28,17:02,18:27
,05:13,06:48,11:59,14:26,17:00,18:27
,05:14,06:50,11:58,14:25,16:58,18:25
,05:15,06:51,11:58,14:23,16:56,18:23
,05:17,06:53,11:58,14:22,16:54,18:21
,04:18,05:55,10:58,13:20,15:52,17:19
,04:20,05:57,10:58,13:19,15:51,17:18
,04:21,05:58,10:58,13:17,15:49,17:16
,,,,,,
,,,,,,
